"DRS_ID","OwnerSuppliedName","Geographic Scope","URN","HOLLIS","SEQUENCE","MAP"
44717925,"013319662_v3_0142","Hoorn Islands","urn-3:FHCL:9696278","013319662",633,
44717938,"013319662_v3_0158","New England","urn-3:FHCL:9696291","013319662",649,
44717939,"013319662_v3_0159","Virginia and North Carolina Coastlines","urn-3:FHCL:9696292","013319662",650,
44717940,"013319662_v3_0160","East Coast from Delaware to Florida","urn-3:FHCL:9696293","013319662",651,
44717941,"013319662_v3_0168","North Atlantic: Azores to Nova Scotia","urn-3:FHCL:9696294","013319662",659,
44717942,"013319662_v3_0171","Amazon Delta and Atlantic Ocean","urn-3:FHCL:9696295","013319662",662,
44717943,"013319662_v3_0175","Sao Paolo and Vicinity","urn-3:FHCL:9696296","013319662",666,
44717944,"013319662_v3_0177","Montevideo and Vicinity","urn-3:FHCL:9696297","013319662",668,
44717945,"013319662_v3_0178","Southern Argentina","urn-3:FHCL:9696298","013319662",669,
44717946,"013319662_v3_0180","Southern Chile and Patagonia","urn-3:FHCL:9696299","013319662",671,
44717947,"013319662_v3_0181","Coast of Chile from Castro to Valparaiso","urn-3:FHCL:9696300","013319662",672,
44717948,"013319662_v3_0182","Coast of Chile from Valparaiso to Tocopilla","urn-3:FHCL:9696301","013319662",673,
44717949,"013319662_v3_0183","Coasts of Chile and Peru from Iquique to Casma","urn-3:FHCL:9696302","013319662",674,
44717950,"013319662_v3_0189","Cape Mendocino and Vicinity","urn-3:FHCL:9696303","013319662",680,
44717965,"013319662_v3_0029","Western Mediterranean","urn-3:FHCL:9696114","013319662",520,
44717966,"013319662_v3_0031","Southern Portugal and the Strait of Gibraltar","urn-3:FHCL:9696115","013319662",522,
44717967,"013319662_v3_0032","Strait of Gibraltar and the Western Mediterranean","urn-3:FHCL:9696116","013319662",523,
44717968,"013319662_v3_0033","Ibiza and Vicinity","urn-3:FHCL:9696117","013319662",524,
44717969,"013319662_v3_0034","Mallorca, Menorca, and Vicinity","urn-3:FHCL:9696118","013319662",525,
44717970,"013319662_v3_0035","Marseilles and Vicinity","urn-3:FHCL:9696119","013319662",526,
44717971,"013319662_v3_0036","Marseilles and Vicinity","urn-3:FHCL:9696120","013319662",527,
44717972,"013319662_v3_0037","Northern Corsica and Environs","urn-3:FHCL:9696121","013319662",528,
44717973,"013319662_v3_0039","Middle to Southern Italy","urn-3:FHCL:9696122","013319662",530,
44717974,"013319662_v3_0041","Northern Adriatic Sea","urn-3:FHCL:9696123","013319662",532,
44717975,"013319662_v3_0042","Southern Italy and the Ionian Sea","urn-3:FHCL:9696124","013319662",533,
44717976,"013319662_v3_0043","Aegean Sea and Sea of Marmara","urn-3:FHCL:9696125","013319662",534,
