DRS_ID	OwnerSuppliedName	Geographic Scope	URN
44718026	013319662_v3_0161	Cuba and Southeastern Gulf of Mexico	urn-3:FHCL:9696175
44718027	013319662_v3_0162	Hispaniola and Puerto Rico	urn-3:FHCL:9696176
44718028	013319662_v3_0163	Gulf of Mexico	urn-3:FHCL:9696177
44718029	013319662_v3_0164	Central America	urn-3:FHCL:9696178
44718030	013319662_v3_0165	Panama, Columbia, and the Gulf of Venezuela	urn-3:FHCL:9696179
44718031	013319662_v3_0166	Venezuela and Caribbean Sea	urn-3:FHCL:9696180
44718032	013319662_v3_0167	Cuba, Hispaniola, and Puerto Rico	urn-3:FHCL:9696181
44718033	013319662_v3_0169	Orinoco Delta	urn-3:FHCL:9696182
44718034	013319662_v3_0170	Mouth of the Amazon	urn-3:FHCL:9696183
44718035	013319662_v3_0172	Northeastern Coast of Brazil	urn-3:FHCL:9696184
44718036	013319662_v3_0173	Eastern Coat of Brazil	urn-3:FHCL:9696185
44718037	013319662_v3_0174	Cape of Good Hope	urn-3:FHCL:9696186
44718038	013319662_v3_0176	Rio de la Plata	urn-3:FHCL:9696187
44718039	013319662_v3_0179	Tierra del Fuego	urn-3:FHCL:9696188
44718040	013319662_v3_0184	Northern Coast of Peru and Coast of Ecuador	urn-3:FHCL:9696189
44718041	013319662_v3_0185	Western Coast of Colombia	urn-3:FHCL:9696190
44718042	013319662_v3_0186	Pacific Coast of Southern Mexico and Central America	urn-3:FHCL:9696191
44718043	013319662_v3_0187	Gulf of California and Baja Peninsula	urn-3:FHCL:9696192
44718044	013319662_v3_0188	West Coast of North America from Cedros Island to Los Angeles	urn-3:FHCL:9696193
